timestamp_ns,cam_id,corner_x,corner_y,corner_id,radius
1738865049959498752,1,390.06,417.596,96,2.44389
1738865049959498752,1,388.836,361.75,100,2.79209
1738865049959498752,1,323.501,399.599,120,2.18345
1738865049959498752,1,317.75,344.327,124,2.50763
1738865049959498752,1,313.815,278.327,128,2.93256
1738865050026173440,1,396.128,363.866,100,2.80596
1738865050026173440,1,330.997,402.941,120,2.18925
1738865050026173440,1,324.479,347.263,124,2.54608
1738865050026173440,1,319.782,281.394,128,2.9853
1738865020759565312,1,445.467,1205.95,17,2.14877
1738865020759565312,1,375.091,1180.25,45,2
1738865020759565312,1,348.423,1346.69,57,2.61025
1738865020759565312,1,284.579,1359.46,81,2.37323
1738865020759565312,1,276.064,1301.81,85,2.0025
1738865020759565312,1,226.802,1367.62,105,2.0434
1738865047159448576,1,61.7823,490.131,28,2.71568
1738865048959493120,1,274.059,402.885,76,2.85034
1738865048959493120,1,177.478,137.576,110,3.03511
1738865048959493120,1,145.528,290.206,128,2.27981
1738865067492758528,1,397.214,220.704,128,2.77425
1738865021026227200,1,393.971,1204.72,17,2.09131
1738865021026227200,1,348.188,1271.95,37,2.34574
1738865021026227200,1,301.838,1346.27,57,2.57183
1738865021026227200,1,287.191,1288.43,61,2.17864
1738865021026227200,1,241.393,1358.93,81,2.36953
1738865021026227200,1,231.165,1300.83,85,2.00584
1738865049292837888,1,266.864,425.016,96,2.22714
1738865049292837888,1,270.298,299.779,104,3.1968
1738865049292837888,1,203.242,348.661,124,2.35294
1738865050826118144,1,319.625,40.6977,138,3.83034
1738865051226125312,1,464.035,387.304,120,2.34064
1738865050159461376,1,344.379,410.668,120,2.19149
1738865050159461376,1,336.668,355.299,124,2.59112
1738865050159461376,1,330.554,289.16,128,3.03734
1738865026826259456,1,80.916,601.302,117,2.88261
1738865049426168832,1,290.212,427.458,96,2.23304
1738865049426168832,1,289.161,370.967,100,2.71324
1738865049426168832,1,291.117,302.625,104,3.13162
1738865049426168832,1,228.301,408.942,120,2.08244
1738865049426168832,1,221.278,284.851,128,2.82214
1738865055092763648,1,1871.76,411.053,33,3.47643
1738865021559565312,1,326.463,1226.33,13,2.40709
1738865021559565312,1,308.552,1178.28,17,2.00668
1738865021559565312,1,285.342,1304.62,33,2.63605
1738865021559565312,1,266.381,1246.86,37,2.26206
1738865021559565312,1,247.508,1389.85,53,2.4169
1738865067226098688,1,444.027,315.422,124,2.51439
1738865067226098688,1,432.119,253.41,128,2.8815
1738865020692900864,1,387.632,1182.57,45,2
1738865020692900864,1,360.6,1348.63,57,2.61065
1738865020692900864,1,347.35,1291.5,61,2.30388
1738865020692900864,1,296.585,1361.37,81,2.41579
1738865020692900864,1,287.786,1303.64,85,2.06888
1738865048359545856,1,160.517,396.868,76,2.65081
1738865048359545856,1,100.095,372.681,100,2.29124
1738865048359545856,1,60.9472,301.18,102,2.29124
1738865038626184192,1,1694.74,119.786,113,4.97378
1738865048759491584,1,245.398,398.39,76,2.85402
1738865048759491584,1,121.079,353.088,124,2.20968
1738865049492814848,1,372.963,446.671,72,2.47295
1738865049492814848,1,377.916,391.428,76,2.9987
1738865049492814848,1,306.113,301.354,104,3.25557
1738865049492814848,1,243.532,407.709,120,2.01187
1738865049492814848,1,237.632,351.059,124,2.43176
1738865049492814848,1,235.081,284.039,128,2.80547
1738865004826164224,1,1635.51,1487,44,2
1738865068026100736,1,447.318,286.369,76,2.88912
1738865068026100736,1,374.805,264.82,100,2.57984
1738865068026100736,1,309.463,248.767,124,2.28757
1738865068026100736,1,305.911,185.805,128,2.58447
1738865048292820992,1,152.138,399.126,76,2.66225
1738865048292820992,1,53.908,301.306,102,2
1738865048492845056,1,239.462,483.218,48,2.3736
1738865048492845056,1,181.103,400.8,76,2.71826
1738865021359532032,1,358.195,1234.93,13,2.43651
1738865021359532032,1,340.111,1186.99,17,2.07206
1738865021359532032,1,316.021,1312,33,2.70847
1738865021359532032,1,297.094,1255.21,37,2.27755
1738865021359532032,1,275.815,1397.32,53,2.91523
1738865021359532032,1,253.573,1330.76,57,2.52892
1738865056626173952,1,1723.1,148.324,137,4.762
1738865047559497728,1,65.8759,284.918,58,2.74818
1738865048692824064,1,229.558,397.553,76,2.72088
1738865048692824064,1,169.075,303.253,104,2.91536
1738865019959597056,1,475.144,1348.3,57,2.6354
1738865019959597056,1,413.713,1422.85,77,2.80508
1738865019959597056,1,404.586,1359.41,81,2.36568
1738865019959597056,1,399.326,1303.4,85,2.20667
1738865019959597056,1,397.229,1209.97,93,2
1738865019959597056,1,343.702,1426.95,101,2.53557
1738865019959597056,1,339.591,1365.62,105,2.28533
1738865019959597056,1,343.288,1218.38,117,2
1738865022159566848,1,229.771,1287.64,9,2.67262
1738865022159566848,1,151.721,1254.93,37,2.14447
1738865024692910080,1,71.4299,980.986,16,3.03984
1738865050559510528,1,438.53,414.141,96,2.47269
1738865050559510528,1,369.53,399.368,120,2.20517
1738865050559510528,1,361.544,344.398,124,2.59968
1738865050559510528,1,354.583,279.405,128,3.00187
1738865019359623168,1,536.283,1211.65,93,2
1738865019359623168,1,473.052,1263.28,113,2
1738865019359623168,1,406.918,1315.54,133,2
1738865019359623168,1,415.276,1268.48,137,2
1738865027226210304,1,154.08,632.661,141,2.75457
1738865044026167296,1,81.9801,776.773,72,3.16108
1738865044026167296,1,78.3505,687.577,76,3.5462
1738865019692912640,1,516.086,1201.98,69,2
1738865019692912640,1,458.285,1305.97,85,2.27763
1738865019692912640,1,456.591,1256.89,89,2.02037
1738865019692912640,1,396.359,1430.02,101,2.62619
1738865019692912640,1,393.672,1368.6,105,2.3952
1738865019692912640,1,394.589,1313.62,109,2.0831
1738865019692912640,1,397.793,1264.39,113,2
1738865019692912640,1,342.677,1269.38,137,2
1738865050092834816,1,330.437,353.176,124,2.5214
1738865050092834816,1,324.678,287.407,128,2.98288
1738865049759526912,1,413.858,444.427,72,2.53948
1738865049759526912,1,342.773,367.395,100,2.77481
1738865049759526912,1,274.135,350.139,124,2.49725
1738865049759526912,1,270.441,283.173,128,2.83915
1738865049759526912,1,270.855,204.23,132,3.36955
1738865067559448576,1,454.784,232.073,104,3.17974
1738865067559448576,1,395.229,335.998,120,2.02312
1738865067559448576,1,373.582,146.514,132,3.16929
1738865019492954112,1,443.559,1316.52,109,2.1256
1738865019492954112,1,447.501,1267.56,113,2
1738865019492954112,1,452.19,1224.56,117,2
1738865019492954112,1,374.549,1431.55,125,2.25991
1738865019492954112,1,377.53,1373.29,129,2.12127
1738865019492954112,1,350.763,1268.23,143,2
1738865047892828160,1,95.9985,398.219,76,2.5919
1738865045159518208,1,75.6179,456.433,48,2.82634
1738865020359565312,1,502.121,1159.95,21,2
1738865020359565312,1,451.511,1218.58,41,2.1397
1738865020359565312,1,389.995,1232.82,65,2.00927
1738865020359565312,1,341.066,1351.36,81,2.42504
